vin,model_version_id,marker_name,int_value,decimal_value,text_value,datetime_active_from,datetime_active_until,report_dt,ctl_loading,market_price,year_production,engine_power,max_recorded_mileage,market_prices_accidents_count,registration_actions_count,brand,weight_max,model,engine_volume,weight_netto,engine_model,has_pts_duplicate,body_style,owner_types_count,body_color,drive_type,reg_action_types_count,used_in_taxi,shap_year_production,shap_engine_power,shap_max_recorded_mileage,shap_market_prices_accidents_count,shap_registration_actions_count,shap_brand,shap_weight_max,shap_model,shap_engine_volume,shap_weight_netto,shap_engine_model,shap_has_pts_duplicate,shap_body_style,shap_owner_types_count,shap_body_color,shap_drive_type,shap_reg_action_types_count,shap_used_in_taxi,shap_sum,expected_value,shap_diff,datetime_published
JMBSNCY1AEU004788,349653,ER01,,1116138.5725978315,,2026-07-01,2026-07-30,2026-06-30,171218714,1116138.5725978315,2014,117.0,150099.0,0,0,14,1750,140002,1590.0,1350,95,0,2,0,1,3,0,0,63113.112706239146,-625261.8101727961,36241.5307107557,44626.18080700413,-5840.177300794917,-115141.75918209863,22420.76403394316,-5466.742685841668,13127.340759174207,-68587.20607696797,-3746.8784465243857,-77322.59647658282,-19116.234258141267,38102.64590535974,-4592.527240476388,5469.255380712273,9482.494624370342,5673.996942358383,-686818.609970307,-0.6924318616225875,1802957.875,2026-06-30
JMBSTCY4A8U004881,349653,ER01,,841400.3342504185,,2026-07-01,2026-07-30,2026-06-30,171218714,841400.3342504185,2007,150.0,209025.0,0,0,14,1750,140002,1998.0,1320,112,0,2,0,2,1,0,0,46077.37392638977,-1071164.1722995962,40027.63042717224,14802.073412518277,15953.620891304512,133064.88107809794,38876.49035139441,4010.2939619179715,11894.181008807765,-115883.07216885813,-15114.414739191521,-111173.05300836198,7950.440402455896,-12062.370949415068,-700.5607717538181,7805.1019882222945,39424.339501270304,4654.368669905366,-961556.8483177199,-0.6924318616225875,1802957.875,2026-06-30
JMBMYV88W8J500239,349653,ER01,,1685144.0407826602,,2026-07-01,2026-07-30,2026-06-30,171218714,1685144.0407826602,2008,165.0,209025.0,0,0,14,2910,140005,3200.0,2300,377,0,1,0,2,2,0,0,64370.68340008245,-1057929.9260886784,47255.40150224929,99800.04339235302,162226.16356020534,111486.54276871654,17879.83376625456,14562.862433412614,-53491.778828239076,-116211.57761940645,-23737.10396466243,359157.3768730488,201905.23598251987,-2815.0672150107143,3831.782004769823,13777.857295777578,35765.44246145287,4353.08648967582,-117813.14178547848,-0.6924318616225875,1802957.8750000005,2026-06-30
JMBXTGA3WEE703404,349653,ER01,,1227154.1971639674,,2026-07-01,2026-07-30,2026-06-30,171218714,1227154.1971639674,2013,140.0,150099.0,0,0,14,1970,140003,1798.0,1500,59,0,1,0,1,1,0,0,75361.50290927128,-710912.6978894142,38893.03789305497,52309.26137676923,-48921.70316142508,-13679.332069310562,25322.586304801775,1880.6822755976405,325.79673883140697,-66097.62490266976,-6944.0534487158575,66453.95790385097,-4305.1522457869505,-20330.846573433093,-2938.261770318961,6289.512826084274,26167.98661129611,5322.361817346652,-575802.9854041702,-0.6924318616225875,1802957.8749999993,2026-06-30
JMBXNCW5W8Z006298,349653,ER01,,1219459.1290922165,,2026-07-01,2026-07-30,2026-06-30,171218714,1219459.1290922165,2008,170.0,209025.0,0,0,14,2290,140001,2360.0,1660,63,0,1,0,2,2,0,0,52890.42344716288,-1085329.2787262888,45662.68782756721,31806.18186733554,73223.64632849391,132689.1770809889,35822.81807920381,-2094.2696741088607,35567.37518876852,-120936.77613958402,-14162.247831627106,134752.82601171546,17249.010358343734,27766.660290805507,3915.4626279669346,8333.321359522606,34605.37042084033,4739.558006972512,-583498.053475921,-0.6924318616225875,1802957.874999999,2026-06-30
4MBSRDM1A9E705004,349653,ER01,,980036.0165193677,,2026-07-01,2026-07-30,2026-06-30,171218714,980036.0165193677,2008,158.0,209025.0,0,0,14,1985,140010,2378.0,1650,293,0,2,0,9,1,0,0,42138.112798666625,-1034669.8042657813,42316.98477386811,61780.22741824718,4428.285271717223,131899.42540038915,31264.365522178145,3499.256528450497,-31546.21968867319,-119278.63056752124,-21332.46898699408,22390.973557026246,-1343.0948122623554,-14212.96296694121,3729.918899053326,8553.815749178655,42579.44567909786,4881.203641529316,-822921.1660487709,-0.6924318616225875,1802957.8750000002,2026-06-30
MMBJNKB408D013561,349653,ER01,,1320809.6832764447,,2026-07-01,2026-07-30,2026-06-30,171218714,1320809.6832764447,2007,136.0,209025.0,0,0,14,2850,140006,2477.0,1960,94,0,5,0,2,2,0,0,59274.63974542553,-1048538.6541613272,44865.18565073574,70960.4807614854,82537.68862094625,-58657.16590001033,27018.321956332133,32531.37275112466,37384.98593994675,-116247.15038016583,-26162.114184210306,312689.92670946964,27689.063273041575,26375.3101378086,4855.099712660316,9473.939076041932,27363.263946252813,4438.307052748403,-482147.4992916941,-0.6924318616225875,1802957.8750000005,2026-06-30
JMBSTCY3A8U010105,349653,ER01,,819035.7319680136,,2026-07-01,2026-07-30,2026-06-30,171218714,819035.7319680136,2008,143.0,209025.0,0,0,14,1850,140002,1798.0,1410,59,0,2,0,2,1,0,0,49110.68685574552,-1018196.0995314645,36776.56580103837,22958.398471348264,-41852.6850103622,69742.7086742638,38400.32317366561,-93.58744224022661,6340.144684797117,-119792.1371607102,-11694.528693146529,-41084.98686758398,-10475.464610819077,-15386.608284078238,212.8349699153773,5579.747061553635,41194.5073277209,4338.729980230839,-983921.4506001257,-0.6924318616225875,1802957.875000001,2026-06-30
JMBXTGA2WJZ001111,349653,ER01,,1838527.603165565,,2026-07-01,2026-07-30,2026-06-30,171218714,1838527.603165565,2017,150.0,96252.0,0,0,14,1870,140003,1998.0,1375,95,0,1,0,5,2,0,0,59414.98686419492,-362594.30484417523,46072.45255648687,77683.60909958277,48693.23838990919,140215.50970185827,15248.668312983054,-7978.648224544001,23092.922391204942,32109.77546533252,-4326.023311120918,-91321.10005025058,-12151.437598460285,23755.08035496447,18968.777536081005,8523.162214796494,13480.229930010179,6683.521808572261,35570.42059742592,-0.6924318616225875,1802957.8750000007,2026-06-30
Z8TGUKS10HM054285,349653,ER01,,3310111.8432087004,,2026-07-01,2026-07-30,2026-06-30,171218714,3310111.8432087004,2018,181.0,96252.0,0,0,14,2710,140004,2442.0,2095,272,0,1,0,3,4,0,0,49187.82650546617,207158.77203219617,56480.15707015528,65882.07382418371,19773.09916771605,241138.40623511426,27573.0963303229,-10576.279890978383,26014.323793477488,58405.30761413759,-11768.752036794467,616964.368930178,37597.77329471371,52012.48837740603,1812.245385980086,9356.92264772332,52883.60248768939,7259.228871877199,1507154.6606405643,-0.6924318616225875,1802957.8749999977,2026-06-30
